id,x,y,z,yaw,pitch,roll
1,-285.138,226.336,-12.6063,2.44854,0.0128976,0.0388723
2,-284.907,226.129,-12.6135,2.44851,0.0139556,0.0404291
3,-285.365,226.536,-12.5996,2.44853,0.0125319,0.0347738
4,-285.584,226.742,-12.6182,2.44896,0.0119142,0.0336269
5,-285.8,226.937,-12.6183,2.45009,0.0108477,0.0311898
6,-286.017,227.125,-12.625,2.45057,0.0106516,0.0306855
7,-286.23,227.314,-12.6304,2.44964,0.00983216,0.0316806
8,-286.438,227.484,-12.6288,2.45027,0.00914772,0.0329562
9,-286.654,227.675,-12.6164,2.45112,0.00749392,0.0333977
10,-286.852,227.851,-12.6125,2.45117,0.00647978,0.0332865
11,-287.054,228.04,-12.5938,2.45136,0.0022934,0.0330378
12,-287.258,228.203,-12.5962,2.45116,-0.00196951,0.0343744
13,-287.447,228.372,-12.6174,2.45071,-0.00437582,0.0372375
14,-287.635,228.528,-12.6313,2.45011,-0.00322803,0.0376103
15,-287.809,228.687,-12.643,2.45053,-0.0018921,0.0389652
16,-287.999,228.839,-12.6357,2.45099,-0.000499826,0.0394868
17,-288.17,228.993,-12.6509,2.45128,-0.000895596,0.0400409
18,-288.35,229.135,-12.6763,2.45165,0.0013352,0.0408788
19,-288.518,229.288,-12.6806,2.45239,0.00475785,0.0396876
20,-288.674,229.429,-12.6683,2.45271,0.0065204,0.0374705
21,-288.841,229.57,-12.6608,2.45301,0.00641836,0.0347329
22,-288.994,229.704,-12.6695,2.45388,0.00604821,0.0347999
23,-289.154,229.849,-12.6863,2.45365,0.00652489,0.0362779
24,-289.31,229.97,-12.7038,2.45318,0.00956133,0.0385052
25,-289.461,230.094,-12.711,2.45424,0.011755,0.0411685
26,-289.601,230.228,-12.7038,2.45502,0.0131285,0.0430785
27,-289.739,230.356,-12.6949,2.45519,0.0141635,0.044961
28,-289.88,230.478,-12.6801,2.45431,0.0134959,0.0438633
29,-290.022,230.585,-12.6854,2.45534,0.0117138,0.0439547
30,-290.152,230.716,-12.6935,2.45609,0.00936457,0.0444464
31,-290.291,230.826,-12.691,2.45637,0.00821672,0.0431192
32,-290.423,230.949,-12.6669,2.45699,0.00591112,0.040506
33,-290.549,231.073,-12.6841,2.45626,0.00171687,0.0413673
34,-290.698,231.175,-12.6781,2.4561,-0.000880665,0.0412122
35,-290.803,231.296,-12.6225,2.45597,-0.00644998,0.0391365
36,-290.934,231.403,-12.6311,2.45483,-0.0145468,0.0399789
37,-291.07,231.515,-12.69,2.45506,-0.0154742,0.0402961
38,-291.182,231.616,-12.737,2.45526,-0.0093834,0.0407488
39,-291.31,231.709,-12.7738,2.45604,-5.01737e-05,0.0412372
40,-291.419,231.816,-12.7335,2.4564,0.00504287,0.0412434
41,-291.556,231.928,-12.7138,2.45612,0.00236926,0.0432728
42,-291.681,232.046,-12.7282,2.4552,-0.000830549,0.0474759
43,-291.808,232.144,-12.759,2.45367,-0.000699225,0.0530363
44,-291.946,232.26,-12.7596,2.4536,0.00111941,0.0561486
45,-292.064,232.361,-12.7424,2.45447,0.00410448,0.0548522
46,-292.183,232.468,-12.7398,2.45511,0.00610154,0.0505479
47,-292.292,232.563,-12.732,2.45581,0.00709977,0.045964
48,-292.406,232.683,-12.7351,2.45618,0.00515571,0.0458982
49,-292.515,232.789,-12.7474,2.45487,0.00387719,0.0477355
50,-292.641,232.873,-12.7611,2.4543,0.00440562,0.0488981
51,-292.762,232.974,-12.7532,2.45507,0.00550203,0.0505283
52,-292.88,233.079,-12.755,2.45435,0.00540151,0.0514325
53,-293.006,233.178,-12.7607,2.45361,0.00627009,0.0493067
54,-293.13,233.289,-12.7791,2.45512,0.00942705,0.0483975
55,-293.254,233.403,-12.756,2.45626,0.0109943,0.0487126
56,-293.38,233.52,-12.7263,2.45567,0.00792342,0.0462131
57,-293.509,233.649,-12.7265,2.45439,-0.000615883,0.0434415
58,-293.651,233.756,-12.7703,2.45451,-0.00325053,0.0429271
59,-293.773,233.865,-12.7754,2.45654,-0.00224244,0.0443325
60,-293.906,233.976,-12.7594,2.4574,-0.00318857,0.0471815
61,-294.044,234.094,-12.7563,2.45737,-0.00518741,0.0487357
62,-294.162,234.208,-12.7807,2.4556,-0.0069594,0.0504781
63,-294.3,234.326,-12.7808,2.45472,-0.00659478,0.0511589
64,-294.426,234.435,-12.7706,2.45527,-0.00587388,0.0516782
65,-294.551,234.55,-12.7884,2.45433,-0.00564327,0.0522654
66,-294.69,234.667,-12.7761,2.4539,-0.00369941,0.0495899
67,-294.815,234.784,-12.7776,2.45498,-0.00396431,0.0476174
68,-294.956,234.908,-12.781,2.45557,-0.00440101,0.0480703
69,-295.097,235.029,-12.7879,2.45474,-0.00474674,0.0474691
70,-295.228,235.137,-12.7947,2.45521,-0.0048309,0.0483231
71,-295.352,235.25,-12.7956,2.45493,-0.00465096,0.0489087
72,-295.487,235.371,-12.7933,2.45452,-0.00490584,0.0487129
73,-295.62,235.49,-12.7908,2.45358,-0.00510983,0.048928
74,-295.759,235.611,-12.7943,2.45325,-0.00551368,0.0489035
75,-295.882,235.718,-12.8024,2.45412,-0.00550914,0.0493023
76,-296.019,235.839,-12.8013,2.45363,-0.00547946,0.0489746
77,-296.16,235.954,-12.796,2.45279,-0.00493538,0.0474172
78,-296.289,236.075,-12.79,2.45282,-0.0051148,0.0450337
79,-296.431,236.198,-12.8044,2.45416,-0.00536525,0.0451043
80,-296.561,236.312,-12.8213,2.45389,-0.00387368,0.0451045
81,-296.709,236.438,-12.8183,2.45373,-0.00229441,0.0454179
82,-296.852,236.561,-12.8096,2.45416,-0.00165735,0.0463291
83,-296.998,236.688,-12.8123,2.45427,-0.00205471,0.0472013
84,-297.139,236.814,-12.8117,2.45405,-0.0020946,0.0466798
85,-297.274,236.937,-12.8162,2.45386,-0.00129194,0.0466655
86,-297.416,237.056,-12.8191,2.45354,-0.000163826,0.0461482
87,-297.551,237.182,-12.8116,2.45317,-1.5137e-05,0.0451609
